Ecoli	562	GCF_000005845.2	K-12 substr. MG1655
Ecoli	562	GCF_000008865.2	Sakai substr. RIMD 0509952
Ecoli	562	GCF_002853715.1	14EC020
Ecoli	562	GCF_000013265.1	UTI89
Saureus	1280	GCF_000013425.1	NCTC 8325
Saureus	1280	GCF_026167765.1	DSM 20231
Saureus	1280	GCF_006094915.1	ATCC 12600
Saureus	1280	GCF_006364675.1	FDAARGOS_773
Paeruginosa	287	GCF_000006765.1	PAO1
Paeruginosa	287	GCF_001457615.1	NCTC10332
Paeruginosa	287	GCF_001045685.1	DSM 50071
Paeruginosa	287	GCF_013201115.1	PAC1
Vcholerae	666	GCF_008369605.1	RFB16
Vcholerae	666	GCF_055389885.1	RIMD 2214379
Vcholerae	666	GCF_000969265.1	10432-62
Vcholerae	666	GCF_003574155.1	V060002
Mtuberculosis	1773	GCF_000195955.2	H37Rv
Mtuberculosis	1773	GCF_030566675.1	MTb-Oman-3215873
Mtuberculosis	1773	GCF_963525475.1	GCF_963525475.1
Mtuberculosis	1773	GCF_017901095.1	CG24
Bsubtilis	1423	GCF_000009045.1	168
Bsubtilis	1423	GCF_029537415.2	DSM 10
Bsubtilis	1423	GCF_002055965.1	NCIB 3610
Bsubtilis	1423	GCF_001697265.1	KCTC 3135
Spyogenes	1314	GCF_900475035.1	NCTC12064
Spyogenes	1314	GCF_022869605.1	PartK-Spyogenes-RM8376
Spyogenes	1314	GCF_002055535.1	NCTC8198
Spyogenes	1314	GCF_004028355.1	CCUG 4207
Bfragilis	817	GCF_000025985.1	NCTC 9343
Bfragilis	817	GCF_005706655.1	CCUG 4856
Bfragilis	817	GCF_020097275.1	FDAARGOS_1512
Bfragilis	817	GCF_040687795.1	S36L11
Cjejuni	197	GCF_000009085.1	NCTC 11168
Cjejuni	197	GCF_045689445.1	CIP 702
Cjejuni	197	GCF_001457695.1	NCTC11351
Cjejuni	197	GCF_003999645.1	ATCC 33560
